"Protein","Nominal_pvalue","Inactive_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"ATIF1_19755.38",0.0178399851396238,4678.22936181482,7558.98240714815,-0.69222943627537,-1.21043620764523,1.21043620764523
"EFC4B_24304.3",0.309322357823271,2253.97810716296,434.869526740741,2.37381898137391,1.20967130039267,1.20967130039267
"ADAM.10.CD_8654.13",0.00223060756399412,878.274609062963,640.262551433333,0.456008465937574,1.20914148230843,1.20914148230843
"SYTL4.C2.2_11563.51",0.000385346070730869,2872.60106996296,2248.36609059259,0.353480691979307,1.2068357740302,1.2068357740302
"AGR2_4959.2",2.76610622761183e-05,902.054917714815,750.843621377778,0.264702800287018,1.20655007830639,1.20655007830639
"MILK1_24973.11",0.00135450795868586,1355.98973240741,1814.287716,-0.420057007174008,-1.20481525333965,1.20481525333965
"EDC4_13066.42",0.00150404768796164,3383.69829214815,2517.31615233333,0.426714518684662,1.20450345499969,1.20450345499969
"TBCC_21326.28",0.078355611990527,1626.24141966296,3458.08325118518,-1.08843115632722,-1.20372855227113,1.20372855227113
"Activin.RIIA_19208.8",0.00133853952491081,1130.57471192963,845.841584355556,0.41859693820308,1.2027833821225,1.2027833821225
"DCNL5_8760.10",0.0047040464963095,2819.7322222963,1971.82555559259,0.516026238331034,1.2010657218699,1.2010657218699
"ASIC4_6951.26",4.71911858125398e-05,1008.81032919259,832.223148177778,0.277612630158656,1.20099085665881,1.20099085665881
"XRP2_23391.20",0.0022971868327915,2802.03625514815,2044.08485596296,0.455020534690227,1.20070986219392,1.20070986219392
"ALDOB_18185.118",0.00969204876504648,2790.17802466667,1846.63524688148,0.595458245918597,1.19900544042953,1.19900544042953
"CD9_17449.23",0.00022687802260663,781.7037243,622.351111118518,0.32889317761569,1.19855500813006,1.19855500813006
"TNFSF15_14057.68",0.0116332865737248,3266.62853918519,2126.54084359259,0.619293845258257,1.19789858209791,1.19789858209791
"CCD97_23561.4",0.00168069057401994,795.148888874074,1072.41273663704,-0.431563328422302,-1.19737773515161,1.19737773515161
"RHOD_12442.4",0.00700696415859689,341.429135792593,232.3577572,0.555238366104252,1.19624446034624,1.19624446034624
"NHLC2_24922.19",0.000677303200381644,2465.68292188889,1898.21753085185,0.377341955206492,1.19587849105495,1.19587849105495
"FGFR.3.CD_3809.1",0.000329448871027022,1599.03792177778,1260.36343618889,0.343364346544687,1.19566743979891,1.19566743979891
"NRN1L_20159.1",0.0033032202306158,1026.89786002963,735.2909259,0.481905605632521,1.19563791235382,1.19563791235382
"LG3BP_5000.52",0.00746755853233887,10706.0383957778,7251.39325140741,0.562094611735559,1.19547482917495,1.19547482917495
"STXB4_24904.121",0.00643478535963511,2831.90504114815,1940.60053496296,0.545269714605331,1.19494000492134,1.19494000492134
"EIF3M_23410.46",0.0090864706607187,2931.66458842963,4397.14876548148,-0.584848288750598,-1.19402905683903,1.19402905683903
"C4b_2182.54",0.00136444832432247,61200.8041151852,45856.6874477778,0.416418465924883,1.19305677243092,1.19305677243092
"CK2N2_21281.13",0.000557179320431865,8664.06909433333,6722.44913585185,0.366057813957178,1.19115396081439,1.19115396081439
"D106A_5664.57",0.144970260225179,865.322695485185,323.447716051852,1.41970571629039,1.1907371138105,1.1907371138105
"BAMBI.ECD_8811.24",7.11307080690313e-05,855.176255140741,700.87812757037,0.287058193154077,1.19070098502484,1.19070098502484
"GRM2B_25086.83",0.271513562687534,1908.66909448148,444.508004103704,2.10228570219801,1.19033197428298,1.19033197428298
"fibulin.1_6470.19",0.00178172814059565,54048.3253907407,40035.9127159259,0.43295522251588,1.19026255638218,1.19026255638218
