"Protein","Active_mean","Inactive_mean","Healthy_control_mean","Active/Healthy_control","Inactive/Healthy_control","Active/Inactive","log(Active_and_Healthy_control)","log(Inactive_and_Healthy_control)","log(Active_and_Inactive)"
"KLHL2_23649.6",466.562351851852,431.280148148148,476.593259259259,0.978952897019572,0.904922887114395,1.08180808658873,-0.0306886496356177,-0.144133236523132,0.113444586887514
"Dematin_23650.2",1365.03088888889,1008.28640740741,834.013648148149,1.63670090042269,1.20895672348554,1.35381264575288,0.710790700002231,0.273762601964818,0.437028098037413
"SOX_23652.15",216.983,253.784444444444,151.797259259259,1.42942633522393,1.67186447029981,0.85498936105006,0.515436273312481,0.741457900079452,-0.226021626766971
"ALG2_23654.6",1363.36751851852,1342.76698148148,2155.01411111111,0.632648998207986,0.623089646865078,1.01534185552754,-0.660522799015964,-0.682488349321311,0.0219655503053475
"PUS7_23656.9",1127.12372222222,1664.3767037037,897.127314814815,1.25636986368527,1.85522910318171,0.677204697538758,0.329261242854784,0.891597356988855,-0.562336114134071
"HNRLL_23657.102",380.227407407408,368.444185185185,394.021925925926,0.964990479943211,0.935085488756407,1.03198102371001,-0.0514133852594603,-0.0968298276764702,0.0454164424170099
"SYNM_23658.1",467.940314814815,465.478962962963,464.245388888889,1.00795899327028,1.00265715956173,1.0052877832248,0.0114369469638247,0.00382838685472497,0.00760856010909959
"BZW2_23659.2",14528.6631296296,13959.938037037,28485.686962963,0.510033798676499,0.490068505463383,1.04073980064121,-0.971335240808529,-1.0289446607938,0.0576094199852732
"KLH41_23660.112",312.94837037037,296.733648148148,277.854777777778,1.12630192244043,1.0679450989519,1.05464402949721,0.1715936157131,0.0948374826942915,0.0767561330188086
"XPP3_23661.61",233.612703703704,254.859592592592,237.390425925926,0.984086459226452,1.07358833701287,0.916632963771338,-0.0231430223943226,0.102440903937354,-0.125583926331676
"X3BP5_23662.10",519.985981481482,548.086148148148,649.832981481482,0.80018404159177,0.843426178367598,0.948730383423098,-0.321596238193341,-0.245666294025602,-0.075929944167739
"VATC1_23663.28",1097.91718518518,1167.08111111111,2101.99757407407,0.522320862177405,0.555224765958737,0.94073768715177,-0.936991766902246,-0.84885617371295,-0.0881355931892957
"RTKN_23664.17",495.439351851852,529.595703703704,464.286685185185,1.06709791096904,1.14066528419282,0.935504854716568,0.0936925559082311,0.189875510576627,-0.096182954668396
"PRS6A_23665.35",2139.82214814815,2113.1692037037,3716.53162962963,0.575757819760945,0.568586363386955,1.01261278292232,-0.796465994507582,-0.814548596135606,0.0180826016280235
