"Protein","Adjusted_linear_model","linear_modeling_pvalue","spearman","spearman_pvalue","log_lm_pvalue","log_spear_pvalue"
"PA1_23967.8","~ PGA",0.620830158925151,-0.0309928060875585,0.87084894714577,0.207027193913798,0.0600571688846175
"CBPA1_23981.172","~ PGA",0.279982605419591,0.125554798383905,0.50855160579687,0.552868949389739,0.293664970026133
"VS10L_24011.27","~ PGA",0.998789257566531,-0.0814409503030735,0.668776240787299,0.000526137330568493,0.17471916421476
"GRM4_24013.6","~ PGA",0.192786051514392,-0.116958253629692,0.5382214867952,0.714924391436666,0.269038968388839
"sEPCR_24023.35","~ PGA + Smoking",0.295891690321736,-0.258122567488353,0.16845331967324,0.528867231183032,0.773520426050839
"IFNE1_24027.32","~ PGA + Methotrexate",0.280942691500655,-0.0239798353670161,0.899906198979507,0.551382261245612,0.045802756548044
"GSK.3.beta_24050.26","~ PGA",0.665413141743809,-0.00701297072054244,0.97066056502202,0.176908626174653,0.0129326140775599
"CSTF1_24055.44","~ PGA",0.462952263066291,0.0273732082963108,0.885828064935192,0.334463788584059,0.0526505644515662
"EF1G_24111.10","~ PGA",0.658449041240539,-0.0705821569293304,0.710912987854387,0.181477830367198,0.148183551460372
"PTER_24179.48","~ PGA",0.807938129586532,-0.0287305574680287,0.880206095179055,0.0926218954233876,0.0554156283958132
"Apo.E_2418.55","~ PGA",0.264631940982531,0.0848532025745921,0.655729225064709,0.577357737793016,0.183275459918215
"GAGC1_24201.86","~ PGA",0.972466756077563,-0.0587184161816177,0.757919391873684,0.0121252361707328,0.12037698107771
"BDNF_2421.7","~ PGA + Prednisone",0.481407594098339,0.0710346066532364,0.709139475958969,0.31748706310754,0.149268337902923
"HMGCL_24211.25","~ PGA",0.792944670764029,-0.0952406668822054,0.616632070463339,0.10075711535603,0.209973891768022
"PRRX1_24215.8","~ PGA",0.544604388803576,-0.0748970934725066,0.694060760213274,0.263918863132861,0.158602508406421
"AAMDC_24216.30","~ PGA",0.716647811837332,0.000905000120833079,0.996213051781527,0.144694220835763,0.00164777270244628
"Calgranulin.A_24217.2","~ PGA",0.830343774782434,-0.0334812795690414,0.860575833401981,0.0807420659604951,0.0652108538931686
"PPAR.gamma_24221.3","~ PGA",0.957554855021696,-0.00520317182491859,0.978229946769011,0.018836337410683,0.00955904615851398
"NELFA_24222.10","~ PGA + Smoking",0.546665550203878,-0.161090021508288,0.39509765068092,0.262278293636825,0.403295552701105
"GST2_24223.5","~ PGA",0.755113555975893,0.0149308408888968,0.937582390636972,0.121987733105459,0.0279905580250141
"Fascin_24226.30","~ PGA",0.856217441783477,-0.021833127915098,0.908827944065004,0.0674159295113271,0.0415183280165766
"EHD1_24235.2","~ PGA",0.663555435489572,-0.0240956282171807,0.899425292271034,0.178122788969054,0.0460349040270255
"VAT1L_24236.46","~ PGA + Age",0.403649393253564,0.0423040491852076,0.824343242544599,0.39399569599074,0.0838919177883202
"CACB3_24237.115","~ PGA + Prednisone",0.568984491824101,0.0551988663165276,0.772037533703974,0.244899570524089,0.112361585306396
"RILP_24244.81","~ PGA + Age + Methotrexate",0.534729409831537,-0.0150456270088499,0.93710347041079,0.271865929278558,0.0282124537786964
"KLC3_24245.2","~ PGA",0.366922277181341,0.131436644794683,0.488729545441393,0.435425919851507,0.310931405530245
"CO040_24247.13","~ PGA",0.485256766447915,-0.0150456270088499,0.93710347041079,0.314028400070453,0.0282124537786964
"RP25L_24251.44","~ PGA",0.674203973619741,0.00701297072054244,0.97066056502202,0.17120869216503,0.0129326140775599
"CL065_24252.85","~ PGA",0.35438803548534,0.144347519272876,0.446640372229362,0.450520948778237,0.35004202321716
