"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"TRML2_5736.1",0.272199546770371,3549.54141966667,3252.04117277778,0.126287125849079,0.0713664463205255,0.0713664463205255
"FUT7_21716.29",0.133865140381598,307.6855144,290.787201640741,0.0814927506800246,0.0711702678652612,0.0711702678652612
"CPLX2_15321.8",0.309062119297538,855.802345662963,777.125061774074,0.139130844796771,0.07095036167085,0.07095036167085
"ARL8B_8569.147",0.115098958656396,676.315246925926,712.656172837037,-0.0755103253579212,-0.0708988044950605,0.0708988044950605
"HBAZ_6919.3",0.243443432336296,1569.37471192593,1448.97997940741,0.115152197396904,0.0706576114232187,0.0706576114232187
"PLVAP_8565.160",0.606102418628238,2340.99989726667,1868.94331292593,0.324902059893978,0.0706512469929995,0.0706512469929995
"NFASC_7179.69",0.190063926713471,882.528991740741,824.630452637037,0.0978959335304965,0.0705927872795431,0.0705927872795431
"BL1S3_24487.95",0.237613069742861,876.771604944444,810.684650214815,0.113060249208904,0.070564256590293,0.070564256590293
"MDM1_7898.29",0.204889228531587,1049.20576129259,977.275637885185,0.102460201879767,0.0705418892170124,0.0705418892170124
"DGCR6_9444.70",0.460291025477611,569.940473251852,658.916399174074,-0.209284186547351,-0.0705219675980921,0.0705219675980921
"PSA1_3859.50",0.180671435800881,591.495946503704,553.870679014815,0.0948191152059164,0.0704610804968929,0.0704610804968929
"FN1.2_20064.24",0.433276063730466,7702.0411937037,8808.25370355556,-0.193615184066018,-0.0703278700176368,0.0703278700176368
"NKG2D_14095.1",0.424929421235257,306.931851851852,349.887530844444,-0.188972882043765,-0.0702380451742625,0.0702380451742625
"VEGF121_4867.15",0.237287866568265,415.532139918519,384.432469144444,0.112229877392193,0.0701127504862285,0.0701127504862285
"ACES_10980.11",0.35021419102916,2127.788786,1912.61810703704,0.153806110330993,0.0700842550365093,0.0700842550365093
"WNK1_25962.51",0.485496058412753,1095.62335388148,1277.96586417778,-0.222097377476188,-0.0696973311877214,0.0696973311877214
"GRIK2_20544.103",0.438731336383476,150.264629625926,171.965267492593,-0.194611750273222,-0.0696323460017406,0.0696323460017406
"SLAF5_3642.4",0.478228332501733,5107.86115233333,4396.89927988889,0.216232823600709,0.0692733631883215,0.0692733631883215
"Beta.casein_16587.1",0.366883596741252,296.166399166667,265.313991766667,0.158707212026959,0.0691125002155551,0.0691125002155551
"RAR.responsive.protein.TIG1_8398.277",0.398284781083422,1054.93532921481,1189.00310703704,-0.172597925065936,-0.0690057357650778,0.0690057357650778
"CS054_24450.96",0.442745802748835,931.749588466667,1066.37518519259,-0.194700932208857,-0.0688940579076479,0.0688940579076479
"PSA_4330.4",0.444138132560813,225.874485592593,197.333868322222,0.194882729087231,0.0686926419954042,0.0686926419954042
"TMUB2_9226.6",0.298531231698862,357.389999992593,391.303662540741,-0.130789346313162,-0.0686657444229655,0.0686657444229655
"NDRG1_19215.7",0.297094108372722,1305.99034975556,1193.3165844037,0.130167398737459,0.0686120117421876,0.0686120117421876
"ZPBP2_10710.23",0.417919890195924,71.2245473255556,80.7464403292593,-0.1810241132507,-0.0685912962298614,0.0685912962298614
"BLVRB_17148.7",0.409797056209338,57667.2546118519,65187.168682963,-0.17683567401379,-0.0685116513191543,0.0685116513191543
"LSP1_21533.51",0.347766307685321,739.712325077778,667.178312788889,0.148891920664947,0.0682985845084504,0.0682985845084504
"Keratin.1_9931.20",0.333798725283137,1558.83973248889,1411.47209874074,0.143271998611925,0.0682713031460873,0.0682713031460873
"CIP1_9728.4",0.253812785682882,653.136172840741,706.989938248148,-0.114305871326736,-0.0680676037417569,0.0680676037417569
"USB1_11328.9",0.0877870275194789,217.26384772963,207.776234566667,0.0644174846104394,0.0680615595549406,0.0680615595549406
"RBM19_11468.15",0.526610863338596,1144.77588478519,966.431316874074,0.244326075913369,0.068047300889572,0.068047300889572
"IgG4..Kappa_13231.90",0.509197877130308,1353.11232512963,1151.99485595926,0.232147331212581,0.0680454971761298,0.0680454971761298
"NET1_9013.60",0.299601515910157,485.863127551852,444.019691359259,0.129926291056436,0.0680106957723679,0.0680106957723679
"HSPA9B_13492.44",0.390147301666896,3976.10751014815,4461.05773666667,-0.166029053604457,-0.0678679274209932,0.0678679274209932
"ARMEL_13693.5",0.0999389207716416,657.858683125926,627.719876544444,0.0676568148748404,0.0676747672562721,0.0676747672562721
"GFRAL_6920.1",0.30559623480108,958.828107085185,1050.20423868889,-0.131325817717385,-0.0676133600257461,0.0676133600257461
"IgM_3069.52",0.452770342859529,7073.87600796296,6173.46074051852,0.196421464220777,0.0675929525773596,0.0675929525773596
"TMG1.Pro.form..ECD_9008.6",0.169010191175076,1331.78395066667,1253.41288062963,0.087498335356674,0.0675563366126604,0.0675563366126604
"THY1_20564.53",0.304422237512214,497.386502051852,544.485720166667,-0.130526856322863,-0.0674202051561314,0.0674202051561314
"CNDP1_5456.59",0.426490455964711,5628.43135833704,6384.320206,-0.181800112070034,-0.067282527656762,0.067282527656762
"OTUD3_21915.2",0.128238969519278,568.455823051852,598.90133747037,-0.0752701182141668,-0.0671394385745732,0.0671394385745732
"FABP6_6450.8",0.276089388418942,329.12493827037,302.870164603704,0.119935878802958,0.0670381936725481,0.0670381936725481
"ACLY_12700.9",0.120816066028597,866.044238662963,823.344876548148,0.0729438590065073,0.0669533671781087,0.0669533671781087
"IL.22BP_5087.5",0.257850391587401,557.668827162963,603.32339507037,-0.113522898052878,-0.0668232337659976,0.0668232337659976
"FCRLB_15583.18",0.611662486069532,506.313189277778,628.954855944444,-0.312926403073551,-0.0668060802683026,0.0668060802683026
"AMPK.a1b1g1_5183.53",0.26827785134525,426.032016455556,392.94493827037,0.116634685735485,0.0666468300149556,0.0666468300149556
"Cathepsin.G_2431.17",0.494102355960092,1512.94792184074,1301.38475307778,0.217314772029461,0.0665381052122685,0.0665381052122685
"NXF1_12453.161",0.548523609289982,630.500740737037,528.597345685185,0.254328884884453,0.0663301621634397,0.0663301621634397
"ADAM.23_7049.2",0.350546321488235,1995.69613173704,1804.05960897778,0.145645061766541,0.0663055822776855,0.0663055822776855
"B4GT6_10832.24",0.26228939993399,957.936646081482,885.151790181481,0.114005368457105,0.0662621159442774,0.0662621159442774
"F175B_8945.7",0.603684861975806,749.269444459259,607.654670788889,0.302232943741702,0.0662463526194036,0.0662463526194036
"PSG7_5651.50",0.291948839545708,134.041049381481,146.030781885185,-0.123597621128676,-0.0660868133215895,0.0660868133215895
"Cystatin.S_14076.74",0.457726740059484,530.192489688889,463.297386825926,0.194577689165173,0.066038444911743,0.066038444911743
"CCL28_2890.59",0.395054582011604,4916.52057607407,4389.47884774074,0.163588018496187,0.0659820652465884,0.0659820652465884
"Glutaminyl.cyclase_7849.3",0.267568776365831,743.75557612963,805.391893007407,-0.114862370726054,-0.0657661236108477,0.0657661236108477
