"Protein","Study_group","Age","Sex","Smoking","Prednisone","Methotrexate","Aspirin"
"PGRC2_10506.53",0.319767741716227,0.816391753595543,0.586427585433798,0.261086674171643,0.0312519572485081,0.543280285386143,0.663434862585966
"sperm.protein.10_10507.166",0.319508493480216,0.442174671586693,0.68083446997594,0.227907212312027,0.535570193051718,0.0281436938919935,0.230423452013801
"SCIMP_10510.62",0.70272639858602,0.236564735889901,0.561567508288923,0.816557702579747,0.756018044528871,0.510002629349048,0.964422677348609
"Collagen.alpha.3.VI..isoform.3_10511.10",0.796086295580728,0.027494961494031,0.810418895630521,0.629764952958694,0.290297476590726,0.792706493138061,0.207822784419474
"IL3RB.ECD_10512.13",0.683367981235417,0.995008889410571,0.769926518288262,0.646632876891726,0.520314144118977,0.414931032303266,0.666982735639848
"CSEN_10513.13",0.765811095100923,0.692357245167094,0.419222278273833,0.310123255036719,0.628589367025967,0.207945428603965,0.0065803727963046
"PGD2.synthase_10514.5",0.645961331494228,0.00230889490986736,0.862010021673407,0.298577044716821,0.938660992816665,0.677000450856868,0.286352546467427
"MXRA8.ECD_10521.10",0.87200321713924,0.691729796253758,0.742803540401931,0.0581573652170819,0.812214532383968,0.481844069555277,0.766835341008771
"DHX9_10527.22",0.736271871774027,0.838939260268547,0.839310200709346,0.786166101412839,0.129449293161416,0.649301701290665,0.201677890713984
"DPEP1_10528.2",0.392837823076216,0.0209014526688155,0.0231052416618904,0.533681071623345,0.243157905090791,0.642843262833815,0.457809600651944
"PSB6_10530.8",0.424765470607705,0.928336867137124,0.100159290733059,0.124576403452246,0.892634088017101,0.5868533315411,0.0970120685867006
"RASN_10531.18",0.928728472690454,0.162413047767157,0.792223857815799,0.18277979702995,0.272015526675287,0.159182318325377,0.477885854690236
"PARP.BRCT.domain_10534.40",0.695679129582894,0.0782398643853684,0.0517772995633141,0.271225765833306,0.96515817544227,0.017821466120798,0.86362031864223
"CX6A2_10535.25",0.129800325530377,0.433085405419952,0.942246210269425,0.45961165946533,0.050920264120611,0.109909600944465,0.204406198264064
"C99L2_10539.30",0.124937350062808,0.836201655744003,0.382974390643307,0.152830323806091,0.148889707047878,0.942529370747643,0.490070324306652
"TSEAR_10546.2",0.015410364297116,0.378739931096841,0.23767123623617,0.756202717226401,0.200726184243544,0.858969380312484,0.0433658591306793
"BMP.RIB_10550.37",0.55475121206165,0.893615076889163,0.975283505703941,0.103832458868544,0.448618019480049,0.833422935555547,0.0601210895494034
"LAT_10551.7",0.24009125330355,0.0412053043174894,0.0317492279400099,0.60013452707392,0.505835394079469,0.963121689587561,0.74258562415839
"NKG2F_10552.88",0.977763887291565,0.908976082763147,0.618610201659641,0.706728422406359,0.501387828982395,0.386133282713779,0.732707237098814
"TOIP2_10553.8",0.0487889997762852,0.594631293207215,0.871484676826335,0.788792487903476,0.599655901101884,0.0289594812246009,0.742101910453014
"BGAL_10554.23",0.272180736802547,0.738212822793717,0.957120517540357,0.317561891948875,0.606117828923217,0.42845677605277,0.124673411504062
"TEX29_10557.6",0.212247221005648,0.768647577050181,0.433936108772824,0.45734886769436,0.434814334543827,0.0705937986752601,0.331868078550784
